,user_id,screen_name,created_time,id_created_time,followers_count,friends_count,text,lang
62,607357383,imadaznam,Mon Jul 22 06:55:32 +0000 2019,Wed Jun 13 14:53:02 +0000 2012,357,86,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
63,2959957758,iSuperman_,Mon Jul 22 06:55:31 +0000 2019,Mon Jan 05 19:19:35 +0000 2015,270,373,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
64,4907627723,benz_allmighty0,Mon Jul 22 06:55:24 +0000 2019,Sun Feb 14 04:59:13 +0000 2016,181,191,"RT @BENBALLER: If your friend has a business that you haven't supported yet, then stop saying that's your friend.",en
65,4907627723,benz_allmighty0,Mon Jul 22 06:55:15 +0000 2019,Sun Feb 14 04:59:13 +0000 2016,181,191,@BENBALLER So that’s not you 😭😭 he look like your whole twin,en
66,835506781187010560,hmeezul,Mon Jul 22 06:55:15 +0000 2019,Sat Feb 25 15:08:34 +0000 2017,156,193,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
67,874641003969261568,puttedtato_,Mon Jul 22 06:55:12 +0000 2019,Tue Jun 13 14:54:00 +0000 2017,30,29,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
68,970790577766678528,ardinaemillia,Mon Jul 22 06:55:09 +0000 2019,Mon Mar 05 22:38:04 +0000 2018,95,81,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
70,1100613300,danial_hafiz14,Mon Jul 22 06:54:59 +0000 2019,Fri Jan 18 10:42:08 +0000 2013,236,659,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
71,1121718890,fathinfrdaus,Mon Jul 22 06:54:56 +0000 2019,Sat Jan 26 11:29:22 +0000 2013,172,206,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
73,189468254,VictorTabansi,Mon Jul 22 06:54:47 +0000 2019,Sat Sep 11 10:15:47 +0000 2010,364,295,"RT @BrianJDennis: Abuja Big Boy Summary. 

1. White kaftan
2. Business plan
3. Oud perfume
4. Mercedes benz
5. Currently pursuing a contrac…",en
75,1052958070421127168,benz_alvaro,Mon Jul 22 06:54:45 +0000 2019,Thu Oct 18 16:22:21 +0000 2018,70,222,Gobakers,en
76,4907627723,benz_allmighty0,Mon Jul 22 06:54:42 +0000 2019,Sun Feb 14 04:59:13 +0000 2016,181,191,@Popsicle @benz_allmighty0 myself 😭😭 I retweeted this for me ❤️,en
77,4084499195,HGil_18,Mon Jul 22 06:54:40 +0000 2019,Sat Oct 31 19:00:46 +0000 2015,438,366,What youngin you know can just jump in a Benz like that 🎰®️,en
79,2916808616,askwa_,Mon Jul 22 06:54:11 +0000 2019,Tue Dec 02 16:50:47 +0000 2014,524,793,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
80,2519845026,Methequeen_,Mon Jul 22 06:53:58 +0000 2019,Sat May 24 08:11:34 +0000 2014,218,97,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
81,1119742006517911552,fyeznn1,Mon Jul 22 06:53:53 +0000 2019,Sat Apr 20 23:17:52 +0000 2019,11,301,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
82,2495502900,syerazali,Mon Jul 22 06:53:53 +0000 2019,Thu May 15 02:35:40 +0000 2014,448,244,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
83,835273242,tasyasohaimi,Mon Jul 22 06:53:50 +0000 2019,Thu Sep 20 10:36:38 +0000 2012,456,151,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
84,353751043,NurZielaAdreana,Mon Jul 22 06:53:50 +0000 2019,Fri Aug 12 15:43:46 +0000 2011,678,80,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
85,945700517816291329,Synchronicity34,Mon Jul 22 06:53:49 +0000 2019,Tue Dec 26 16:59:08 +0000 2017,558,488,@wallellaa @CarlKoinberg Delivery of #BEV heavy trucks to customers has already started by Mercedes-Benz and Volvo.… https://t.co/73bYZgH4WK,en
86,865098811005222913,ShazreenaNoor,Mon Jul 22 06:53:47 +0000 2019,Thu May 18 06:56:44 +0000 2017,100,208,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
88,1093193310196314114,Adamsemmm,Mon Jul 22 06:53:34 +0000 2019,Wed Feb 06 17:02:50 +0000 2019,27,74,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
90,841163278529130496,daniellmeh,Mon Jul 22 06:53:26 +0000 2019,Mon Mar 13 05:45:28 +0000 2017,156,350,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
91,439145375,dianaAtikah,Mon Jul 22 06:53:21 +0000 2019,Sat Dec 17 12:20:32 +0000 2011,650,78,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
93,1914806239,Fithreeeeeeeeee,Mon Jul 22 06:53:16 +0000 2019,Sat Sep 28 17:24:51 +0000 2013,387,329,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
95,624465955,___pateahhh,Mon Jul 22 06:52:44 +0000 2019,Mon Jul 02 07:42:48 +0000 2012,1609,777,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
